Player,Squad,Pos,Att,Cmp,Cmp_pct,Group
Alexis Mac Allister,ARG,MF,430,391,91,Finalist
Cristian Romero,ARG,DF,430,417,97,Finalist
Emiliano Martinez,ARG,GK,268,196,73,Finalist
Enzo Fernandez,ARG,MF,519,477,92,Finalist
Exequiel Palacios,ARG,MF,94,89,95,Finalist
Facundo Medina,ARG,DF,163,150,92,Finalist
Gonzalo Montiel,ARG,DF,100,81,81,Finalist
Julian Alvarez,ARG,FW,215,183,85,Finalist
Leandro Paredes,ARG,MF,565,531,94,Finalist
Lionel Messi,ARG,FW,367,286,78,Finalist
Lisandro Martinez,ARG,DF,450,423,94,Finalist
Nahuel Molina,ARG,DF,276,235,85,Finalist
Nico Gonzalez,ARG,MF,109,90,83,Finalist
Nicolas Otamendi,ARG,DF,187,178,95,Finalist
Nicolas Tagliafico,ARG,DF,217,191,88,Finalist
Rodrigo De Paul,ARG,MF,327,301,92,Finalist
Thiago Almada,ARG,FW,170,155,91,Finalist
Alex Baena,ESP,MF,218,179,82,Finalist
Aymeric Laporte,ESP,DF,660,620,94,Finalist
Dani Olmo,ESP,FW,229,206,90,Finalist
Fabian Ruiz,ESP,MF,297,267,90,Finalist
Ferran Torres,ESP,FW,86,63,73,Finalist
Lamine Yamal,ESP,FW,265,225,85,Finalist
Marc Cucurella,ESP,DF,474,431,91,Finalist
Marcos Llorente,ESP,DF,152,141,93,Finalist
Mikel Merino,ESP,MF,101,89,88,Finalist
Mikel Oyarzabal,ESP,FW,149,124,83,Finalist
Pau Cubarsi,ESP,DF,690,669,97,Finalist
Pedri,ESP,MF,469,422,90,Finalist
Pedro Porro,ESP,DF,420,378,90,Finalist
Rodri,ESP,MF,799,743,93,Finalist
Unai Simon,ESP,GK,314,254,81,Finalist
