Player,Squad,Pos,Att,Cmp,Cmp_pct,Group
Aissa Mandi,ALG,DF,382,355,93,Non-finalist
Fares Chaibi,ALG,MF,244,220,90,Non-finalist
Hicham Boudaoui,ALG,MF,86,83,97,Non-finalist
Houssem Aouar,ALG,MF,84,79,94,Non-finalist
Ibrahim Maza,ALG,MF,141,111,79,Non-finalist
Luca Zidane,ALG,GK,104,92,88,Non-finalist
Nabil Bentaleb,ALG,MF,280,255,91,Non-finalist
Rafik Belghali,ALG,DF,183,168,92,Non-finalist
Ramiz Zerrouki,ALG,MF,105,97,92,Non-finalist
Ramy Bensebaini,ALG,DF,385,358,93,Non-finalist
Rayan Ait Nouri,ALG,DF,211,190,90,Non-finalist
Riyad Mahrez,ALG,FW,147,126,86,Non-finalist
Aiden Oneill,AUS,MF,172,143,83,Non-finalist
Alessandro Circati,AUS,DF,221,177,80,Non-finalist
Harry Souttar,AUS,DF,199,171,86,Non-finalist
Jackson Irvine,AUS,MF,124,103,83,Non-finalist
Jordan Bos,AUS,DF,107,94,88,Non-finalist
Lucas Herrington,AUS,DF,106,101,95,Non-finalist
Patrick Beach,AUS,GK,122,79,65,Non-finalist
Paul Okon Engstler,AUS,MF,89,77,87,Non-finalist
Alexander Schlager,AUT,GK,123,106,86,Non-finalist
David Alaba,AUT,DF,222,198,89,Non-finalist
Kevin Danso,AUT,DF,164,148,90,Non-finalist
Konrad Laimer,AUT,MF,150,130,87,Non-finalist
Marcel Sabitzer,AUT,MF,126,94,75,Non-finalist
Nicolas Seiwald,AUT,MF,153,141,92,Non-finalist
Philipp Lienhart,AUT,DF,140,127,91,Non-finalist
Romano Schmid,AUT,MF,91,65,71,Non-finalist
Stefan Posch,AUT,DF,132,98,74,Non-finalist
Xaver Schlager,AUT,MF,138,130,94,Non-finalist
Arthur Theate,BEL,DF,164,153,93,Non-finalist
Brandon Mechele,BEL,DF,399,367,92,Non-finalist
Charles De Ketelaere,BEL,FW,91,72,79,Non-finalist
Hans Vanaken,BEL,MF,164,153,93,Non-finalist
Jeremy Doku,BEL,FW,90,74,82,Non-finalist
Kevin De Bruyne,BEL,MF,185,154,83,Non-finalist
Leandro Trossard,BEL,FW,199,171,86,Non-finalist
Maxim De Cuyper,BEL,DF,246,204,83,Non-finalist
Nathan Ngoy,BEL,DF,219,206,94,Non-finalist
Nicolas Raskin,BEL,MF,230,198,86,Non-finalist
Thibaut Courtois,BEL,GK,198,145,73,Non-finalist
Thomas Meunier,BEL,DF,116,97,84,Non-finalist
Timothy Castagne,BEL,DF,263,229,87,Non-finalist
Youri Tielemans,BEL,MF,255,222,87,Non-finalist
Amar Dedic,BIH,DF,99,80,81,Non-finalist
Benjamin Tahirovic,BIH,MF,107,91,85,Non-finalist
Ivan Basic,BIH,MF,104,96,92,Non-finalist
Ivan Sunjic,BIH,MF,102,88,86,Non-finalist
Kerim Alajbegovic,BIH,FW,90,69,77,Non-finalist
Nikola Katic,BIH,DF,165,148,90,Non-finalist
Nikola Vasilj,BIH,GK,155,95,61,Non-finalist
Sead Kolasinac,BIH,DF,173,142,82,Non-finalist
Stjepan Radeljic,BIH,DF,153,138,90,Non-finalist
Tarik Muharemovic,BIH,DF,153,132,86,Non-finalist
Alisson,BRA,GK,132,107,81,Non-finalist
Bruno Guimaraes,BRA,MF,200,162,81,Non-finalist
Casemiro,BRA,MF,224,199,89,Non-finalist
Danilo,BRA,DF,294,262,89,Non-finalist
Douglas Santos,BRA,DF,275,256,93,Non-finalist
Gabriel Magalhaes,BRA,DF,431,414,96,Non-finalist
Lucas Paqueta,BRA,MF,190,162,85,Non-finalist
Marquinhos,BRA,DF,380,369,97,Non-finalist
Matheus Cunha,BRA,FW,90,78,87,Non-finalist
Rayan,BRA,FW,99,93,94,Non-finalist
Vinicius Junior,BRA,FW,142,116,82,Non-finalist
Alistair Johnston,CAN,DF,240,185,77,Non-finalist
Derek Cornelius,CAN,DF,170,151,89,Non-finalist
Ismael Kone,CAN,MF,108,93,86,Non-finalist
Jonathan David,CAN,FW,103,76,74,Non-finalist
Luc De Fougerolles,CAN,DF,191,170,89,Non-finalist
Maxime Crepeau,CAN,GK,123,92,75,Non-finalist
Moise Bombito,CAN,DF,111,95,86,Non-finalist
Nathan Saliba,CAN,MF,93,79,85,Non-finalist
Richie Laryea,CAN,DF,202,168,83,Non-finalist
Stephen Eustaquio,CAN,MF,281,244,87,Non-finalist
Tajon Buchanan,CAN,FW,95,76,80,Non-finalist
Christ Inao Oulai,CIV,MF,125,115,92,Non-finalist
Emmanuel Agbadou,CIV,DF,154,142,92,Non-finalist
Franck Kessie,CIV,MF,188,165,88,Non-finalist
Ghislain Konan,CIV,DF,149,124,83,Non-finalist
Guela Doue,CIV,DF,163,143,88,Non-finalist
Ibrahim Sangare,CIV,MF,190,173,91,Non-finalist
Nicolas Pepe,CIV,FW,109,93,85,Non-finalist
Odilon Kossounou,CIV,DF,149,142,95,Non-finalist
Wilfried Singo,CIV,DF,92,79,86,Non-finalist
Yahia Fofana,CIV,GK,114,74,65,Non-finalist
Yan Diomande,CIV,FW,142,126,89,Non-finalist
Aaron Wan Bissaka,COD,DF,137,110,80,Non-finalist
Arthur Masuaku,COD,DF,169,140,83,Non-finalist
Axel Tuanzebe,COD,DF,155,140,90,Non-finalist
Chancel Mbemba,COD,DF,162,130,80,Non-finalist
Lionel Mpasi,COD,GK,139,95,68,Non-finalist
Noah Sadiki,COD,MF,116,103,89,Non-finalist
Samuel Moutoussamy,COD,MF,147,122,83,Non-finalist
Camilo Vargas,COL,GK,202,158,78,Non-finalist
Daniel Munoz,COL,DF,213,194,91,Non-finalist
Davinson Sanchez,COL,DF,361,325,90,Non-finalist
Gustavo Puerta,COL,DF,290,264,91,Non-finalist
James Rodriguez,COL,MF,237,199,84,Non-finalist
Jefferson Lerma,COL,MF,274,241,88,Non-finalist
Jhon Arias,COL,MF,240,228,95,Non-finalist
Jhon Lucumi,COL,DF,285,262,92,Non-finalist
Johan Mojica,COL,DF,202,162,80,Non-finalist
Juan Quintero,COL,MF,89,74,83,Non-finalist
Luis Diaz,COL,FW,166,144,87,Non-finalist
Deroy Duarte,CPV,MF,101,87,86,Non-finalist
Diney Borges,CPV,DF,195,158,81,Non-finalist
Jamiro Monteiro,CPV,MF,106,87,82,Non-finalist
Kevin Pina,CPV,MF,156,134,86,Non-finalist
Pico Lopes,CPV,DF,182,153,84,Non-finalist
Sidny Lopes Cabral,CPV,DF,105,87,83,Non-finalist
Steven Moreira,CPV,DF,109,88,81,Non-finalist
Vozinha,CPV,GK,166,116,70,Non-finalist
Dominik Livakovic,CRO,GK,129,95,74,Non-finalist
Ivan Perisic,CRO,FW,150,132,88,Non-finalist
Josip Stanisic,CRO,DF,162,139,86,Non-finalist
Josip Sutalo,CRO,DF,267,240,90,Non-finalist
Josko Gvardiol,CRO,DF,89,77,87,Non-finalist
Luka Modric,CRO,MF,248,226,91,Non-finalist
Marin Pongracic,CRO,DF,200,182,91,Non-finalist
Martin Baturina,CRO,MF,93,80,86,Non-finalist
Mateo Kovacic,CRO,MF,208,198,95,Non-finalist
Petar Sucic,CRO,MF,127,110,87,Non-finalist
Armando Obispo,CUW,DF,97,87,90,Non-finalist
Eloy Room,CUW,GK,89,48,54,Non-finalist
Leandro Bacuna,CUW,MF,125,108,86,Non-finalist
Sherel Floranus,CUW,DF,112,95,85,Non-finalist
Ladislav Krejci,CZE,DF,160,134,84,Non-finalist
Matej Kovar,CZE,GK,97,62,64,Non-finalist
Michal Sadilek,CZE,MF,84,69,82,Non-finalist
Robin Hranac,CZE,DF,116,104,90,Non-finalist
Vladimir Coufal,CZE,DF,110,79,72,Non-finalist
Alan Franco,ECU,MF,148,141,95,Non-finalist
