Rk,Player,Pos,Squad,Age,Born,Nineties,CrdY,CrdR,2CrdY,FoulsPer90,Fld,Off,Crs,Int,TklW,OG,Matches,-9999,Position
2,Thelo Aasgaard,MF,Norway,24,2002,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,Matches,c88a28b9,MF
6,Ali Abdi,DF,Tunisia,32,1993,3.0,0.0,0.0,0.0,1.33,0.33,0.0,1.33,1.33,2.67,0.0,Matches,ad7cdb35,DF
7,Saud Abdulhamid,DF,Saudi Arabia,26,1999,3.0,0.33,0.0,0.0,1.33,0.67,0.0,1.67,0.67,3.0,0.0,Matches,caa254e4,DF
8,Abdulla Abdullaev,DF,Uzbekistan,28,1997,2.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,1.5,1.0,0.0,Matches,03053fbf,DF
10,Husam Abu Dahab,DF,Jordan,26,2000,2.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,Matches,300aaeb6,DF
12,Mohannad Abu Taha,DF,Jordan,23,2003,2.9,0.34,0.0,0.0,0.69,0.34,0.0,1.72,2.07,0.69,0.0,Matches,5c4bac6c,DF
18,Jayden Adams,MF,South Africa,25,2001,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,Matches,259affab,MF
19,Tyler Adams,MF,USA,27,1999,3.8,0.26,0.0,0.0,1.32,1.58,0.0,0.0,2.11,1.32,0.0,Matches,2b09d998,MF
20,Ricardo Adé,DF,Haiti,36,1990,3.0,0.0,0.0,0.0,2.0,1.33,0.0,0.33,1.67,0.67,0.0,Matches,a9ee5e81,DF
23,Jonas Adjetey,DF,Ghana,22,2003,2.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,1.2,0.0,Matches,bdbf78cd,DF
24,Michel Aebischer,MFFW,Switzerland,29,1997,1.7,0.0,0.0,0.0,1.76,1.18,0.0,3.53,0.0,0.59,0.0,Matches,f9c927de,MF
26,Emmanuel Agbadou,DF,Côte d'Ivoire,28,1997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,2.0,0.0,Matches,75f1ed80,DF
28,Ali Ahmed,MF,Canada,25,2000,2.6,0.0,0.0,0.0,0.38,1.92,0.0,5.0,1.15,0.77,0.0,Matches,540a5be1,MF
29,Homam Ahmed,DF,Qatar,26,1999,1.4,0.0,0.71,0.0,2.86,0.0,0.0,2.14,2.14,0.71,0.0,Matches,a62fa158,DF
30,Rayan Aït-Nouri,DF,Algeria,25,2001,3.2,0.0,0.0,0.0,1.88,1.25,0.0,2.5,1.56,4.06,0.0,Matches,9b398aea,DF
31,Kristoffer Ajer,DF,Norway,28,1998,5.3,0.19,0.0,0.0,0.38,0.19,0.0,0.19,0.75,1.51,0.0,Matches,a8c0acb7,DF
32,Manuel Akanji,DF,Switzerland,30,1995,6.7,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.9,1.34,0.0,Matches,89ac64a6,DF
33,Nathan Aké,DF,Netherlands,31,1995,1.9,0.0,0.0,0.0,1.05,1.05,0.0,0.53,2.11,0.0,0.0,Matches,eaeca114,DF
34,Yunus Akgün,MF,Türkiye,25,2000,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,Matches,1453e3cf,MF
38,David Alaba,DF,Austria,33,1992,3.1,0.0,0.0,0.0,0.65,0.0,0.0,0.32,1.29,0.32,0.0,Matches,05439de2,DF
39,Kerim Alajbegović,MF,Bosnia–Herz,18,2007,3.1,0.0,0.0,0.0,1.29,1.94,0.32,4.84,0.65,0.0,0.0,Matches,f3d9291e,MF
41,Omar Alderete,DF,Paraguay,29,1996,3.6,0.0,0.0,0.0,0.56,0.83,0.0,0.0,0.56,0.0,0.0,Matches,bb08bce9,DF
43,Hussein Ali,DF,Iraq,24,2002,1.8,0.0,0.0,0.0,0.56,0.0,0.56,0.56,1.11,1.11,0.0,Matches,b8a919ad,DF
46,Khojiakbar Alijonov,MF,Uzbekistan,29,1997,1.5,0.0,0.0,0.0,1.33,0.67,0.0,3.33,3.33,1.33,0.0,Matches,e53cbd7a,MF
49,Thiago Almada,MF,Argentina,25,2001,2.7,0.37,0.0,0.0,0.74,0.74,0.74,0.37,0.0,1.48,0.0,Matches,27f33438,MF
50,Miguel Almirón,MFFW,Paraguay,32,1994,3.1,0.32,0.32,0.0,0.65,2.26,0.0,1.29,0.97,2.26,0.0,Matches,862a1c15,MF
51,Júnior Alonso,DF,Paraguay,33,1993,4.3,0.23,0.0,0.0,0.7,0.7,0.23,0.47,0.93,2.09,0.0,Matches,b18a3023,DF
52,Barış Alper Yılmaz,MFFW,Türkiye,26,2000,2.0,0.0,0.0,0.0,2.0,0.5,1.0,7.5,0.0,0.0,0.0,Matches,414b2ce4,MF
54,Edson Álvarez,MFDF,Mexico,28,1997,2.7,0.37,0.0,0.0,1.85,0.74,0.0,0.37,1.11,2.22,0.0,Matches,8b3ab7ad,MF
58,Michael Amir Murillo,DFMF,Panama,30,1996,3.0,0.0,0.0,0.0,0.33,2.33,0.33,2.67,0.33,1.0,0.0,Matches,349cae8f,DF
