,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Emiliano Martínez,GK,33,8,8,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7956236f
Alexis Mac Allister,MF,27,8,7,750,8.3,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches,83d074ff
Lionel Messi,FW,38,8,7,740,8.2,8,4,12,8,0,2,0,0,0.97,0.49,1.46,0.97,1.46,Matches,d70ce98e
Enzo Fernández,MF,25,7,7,659,7.3,2,0,2,2,0,0,2,1,0.27,0.00,0.27,0.27,0.27,Matches,5ff4ab71
Lisandro Martínez,DF,28,7,7,624,6.9,1,1,2,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29,Matches,bac46a10
Cristian Romero,DF,28,7,7,608,6.8,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,a3d94a58
Rodrigo De Paul,MF,32,7,6,491,5.5,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,162efffd
Julián Álvarez,FW,26,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,15ab5a2b
Nahuel Molina,DF,28,7,5,528,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,23610943
Nicolás Tagliafico,DF,33,7,5,476,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0661424
Leandro Paredes,MF,31,7,4,473,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dff153a4
Lautaro Martínez,FW,28,7,4,310,3.4,3,1,4,2,1,1,1,0,0.87,0.29,1.16,0.58,0.87,Matches,f7036e1c
Facundo Medina,DF,27,5,3,308,3.4,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches,6f5ec8bb
Thiago Almada,MF,25,5,3,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,27f33438
Gonzalo Montiel,DF,29,6,2,192,2.1,0,1,1,0,0,0,1,0,0.00,0.47,0.47,0.00,0.47,Matches,374d5158
Giuliano Simeone,FW,23,3,2,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6536561
Nicolás González,MF,28,7,1,259,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,2374aaca
Nicolás Otamendi,DF,38,7,1,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d267745
Marcos Senesi,DF,29,2,1,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35141f4c
Exequiel Palacios,DF,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e82adcab
Nicolás Paz,MF,21,2,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01bb93d5
Giovani Lo Celso,MF,30,1,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,Matches,d7553721
Valentín Barco,DFMF,21,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9f282ec
Flaco López,FW,25,2,0,20,0.2,0,1,1,0,0,0,1,0,0.00,4.50,4.50,0.00,4.50,Matches,e1426a52
Juan Musso,GK,32,0,0,,,,,,,,,,,,,,,,Matches,a111cf41
Gerónimo Rulli,GK,34,0,0,,,,,,,,,,,,,,,,Matches,625c144a
Squad Total,,29.6,8,88,810,9.0,18,12,30,17,1,3,15,1,2.00,1.33,3.33,1.89,3.22,,-9999
Opponent Total,,28.3,8,88,810,9.0,8,8,16,8,0,0,14,1,0.89,0.89,1.78,0.89,1.78,,-9999
