Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,goal_contributions,ga_per90,goals_per90,assists_per90
Alexis Mac Allister,MF,27,8,7,750.0,8.3,1.0,1.0,2.0,2.0,0.24,0.12,0.12
Lionel Messi,FW,38,8,7,740.0,8.2,8.0,4.0,12.0,12.0,1.46,0.98,0.49
Enzo Fernández,MF,25,7,7,659.0,7.3,2.0,0.0,2.0,2.0,0.27,0.27,0.0
Rodrigo De Paul,MF,32,7,6,491.0,5.5,0.0,1.0,1.0,1.0,0.18,0.0,0.18
Julián Álvarez,FW,26,8,5,602.0,6.7,1.0,0.0,1.0,1.0,0.15,0.15,0.0
Leandro Paredes,MF,31,7,4,473.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lautaro Martínez,FW,28,7,4,310.0,3.4,3.0,1.0,4.0,4.0,1.18,0.88,0.29
Thiago Almada,MF,25,5,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuliano Simeone,FW,23,3,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás González,MF,28,7,1,259.0,2.9,0.0,1.0,1.0,1.0,0.34,0.0,0.34
Nicolás Paz,MF,21,2,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovani Lo Celso,MF,30,1,1,59.0,0.7,1.0,0.0,1.0,1.0,1.43,1.43,0.0
Flaco López,FW,25,2,0,20.0,0.2,0.0,1.0,1.0,1.0,5.0,0.0,5.0
