Rk,Player,Pos,Squad,Age,Born,Nineties,CrdY,CrdR,2CrdY,FoulsPer90,Fld,Off,Crs,Int,TklW,OG,Matches,-9999,Position
446,Ismail Jakobs,DF,Senegal,26,1999,2.4,0.0,0.0,0.0,0.83,0.0,0.0,7.5,0.83,0.83,0.0,Matches,a0415710,DF
779,Ramin Rezaeian,DFMF,IR Iran,36,1990,3.0,0.0,0.0,0.0,0.67,1.0,0.33,6.0,0.67,1.67,0.0,Matches,c0ae3446,DF
82,Santiago Arias,DF,Colombia,34,1992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,Matches,fdd60087,DF
502,Odilon Kossounou,DF,Côte d'Ivoire,25,2001,3.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,1.0,0.0,Matches,1f3afdcb,DF
458,Alistair Johnston,DF,Canada,27,1998,5.0,0.2,0.0,0.0,1.0,0.8,0.0,3.8,1.2,0.4,0.0,Matches,4fb17e20,DF
600,Brandon Mechele,DF,Belgium,33,1993,6.3,0.16,0.0,0.0,1.43,0.32,0.0,0.0,0.63,0.63,0.0,Matches,0a6dbbf7,DF
855,Marcos Senesi,DF,Argentina,29,1997,1.2,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.67,0.0,0.0,Matches,35141f4c,DF
513,Gustaf Lagerbielke,DF,Sweden,26,2000,4.0,0.0,0.0,0.0,0.25,0.75,0.25,0.25,1.25,1.25,0.0,Matches,9e39fa2d,DF
141,Moïse Bombito,DF,Canada,26,2000,2.1,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.48,0.0,0.0,Matches,c2f23fc8,DF
270,Guéla Doué,DF,Côte d'Ivoire,23,2002,3.1,0.32,0.0,0.0,1.94,1.61,0.0,3.87,0.97,1.61,0.0,Matches,b4ef3fb5,DF
490,Abdukodir Khusanov,DF,Uzbekistan,22,2004,3.0,0.67,0.0,0.0,2.0,0.0,0.0,0.0,1.67,1.0,0.0,Matches,d17ce930,DF
339,Lee Gi-hyuk,DF,Korea Republic,25,2000,3.0,0.33,0.0,0.0,0.67,0.33,0.0,0.67,1.67,1.33,0.0,Matches,18c8c3c7,DF
318,Alex Freeman,DF,USA,21,2004,4.2,0.0,0.0,0.0,0.24,0.24,0.0,0.95,1.67,1.43,0.0,Matches,754f150b,DF
681,Nico O'Reilly,DF,England,21,2005,5.1,0.2,0.0,0.0,1.18,0.78,0.0,0.78,0.98,0.59,0.0,Matches,91ca4a16,DF
92,Oğuz Aydın,DF,Türkiye,25,2000,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,Matches,a7b98226,DF
273,Denzel Dumfries,DFMF,Netherlands,30,1996,4.3,0.0,0.0,0.0,1.4,0.7,0.23,3.72,0.23,1.4,0.0,Matches,481c9ece,DF
655,Abdallah Nasib,DF,Jordan,32,1994,2.9,0.0,0.0,0.0,0.34,0.34,0.0,0.0,2.41,1.03,0.0,Matches,aaab3072,DF
656,Sherzod Nasrullaev,DFMF,Uzbekistan,27,1998,2.0,0.5,0.0,0.0,1.5,1.0,0.0,1.5,1.0,1.0,0.0,Matches,aeb0c7f7,DF
267,Merchas Doski,DF,Iraq,26,1999,3.0,0.33,0.0,0.0,1.0,2.67,0.0,1.33,2.0,3.0,0.0,Matches,fdf4cfe5,DF
438,Ko Itakura,DF,Japan,29,1997,1.4,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,Matches,97d545ae,DF
377,Jaouen Hadjam,DF,Algeria,23,2003,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.83,0.83,0.0,Matches,576817b7,DF
30,Rayan Aït-Nouri,DF,Algeria,25,2001,3.2,0.0,0.0,0.0,1.88,1.25,0.0,2.5,1.56,4.06,0.0,Matches,9b398aea,DF
382,Achraf Hakimi,DF,Morocco,27,1998,6.3,0.16,0.0,0.0,1.11,2.54,0.0,5.56,0.79,1.59,0.0,Matches,e42d61c7,DF
718,João Paulo Fernandes,DF,Cabo Verde,28,1998,1.2,0.0,0.0,0.0,0.0,3.33,0.0,4.17,5.0,0.83,0.0,Matches,afcac9da,DF
415,Piero Hincapié,DF,Ecuador,24,2002,3.8,0.26,0.26,0.0,1.32,1.05,0.0,3.68,1.05,1.32,0.0,Matches,0c7a48f8,DF
180,Timothy Castagne,DF,Belgium,30,1995,5.3,0.19,0.0,0.0,1.32,0.38,0.0,3.77,1.51,1.32,0.0,Matches,197640fd,DF
785,Ró-Ró,DF,Qatar,35,1990,3.0,0.0,0.0,0.0,0.33,2.33,0.0,0.67,1.0,1.33,0.0,Matches,8735fe66,DF
202,Pathé Ciss,DF,Senegal,32,1994,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9a0408b6,DF
740,Marin Pongračić,DF,Croatia,28,1997,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,2a6cd437,DF
485,Shoja' Khalilzadeh,DF,IR Iran,37,1989,3.0,0.33,0.0,0.0,1.33,0.0,0.33,0.0,1.0,1.0,0.0,Matches,0aed29f1,DF
201,Alessandro Circati,DF,Australia,22,2003,4.3,0.23,0.0,0.0,1.16,0.93,0.0,0.47,0.47,1.63,0.0,Matches,1223765c,DF
537,Sidny Lopes Cabral,DF,Cabo Verde,23,2002,3.2,0.63,0.0,0.0,0.63,2.81,0.0,3.75,1.25,0.63,0.0,Matches,20700569,DF
23,Jonas Adjetey,DF,Ghana,22,2003,2.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,1.2,0.0,Matches,bdbf78cd,DF
894,John Stones,DF,England,32,1994,3.7,0.0,0.0,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.0,Matches,5eecec3d,DF
590,Chancel Mbemba,DF,Congo DR,31,1994,4.0,0.25,0.0,0.0,0.25,0.75,0.0,1.0,0.25,0.75,0.0,Matches,e76cb9cc,DF
368,Malo Gusto,DF,France,23,2003,1.3,0.0,0.0,0.0,3.08,1.54,0.0,1.54,1.54,2.31,0.0,Matches,d56b9520,DF
466,Ozan Kabak,DF,Türkiye,26,2000,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,Matches,2d61d13a,DF
108,Abdülkerim Bardakcı,DF,Türkiye,31,1994,2.9,0.0,0.0,0.0,0.34,1.03,0.0,2.41,0.69,1.72,0.0,Matches,5d9cff53,DF
763,Jiovany Ramos,DF,Panama,29,1997,1.8,0.0,0.0,0.0,1.11,0.56,0.0,0.0,1.67,0.56,0.0,Matches,30cda59f,DF
491,Joshua Kimmich,DF,Germany,31,1995,3.9,0.0,0.0,0.0,0.0,1.79,0.0,7.95,1.03,1.03,0.0,Matches,49296448,DF
67,Andrés Andrade Cedeño,DF,Panama,27,1998,3.0,0.33,0.0,0.0,1.33,0.0,0.0,2.67,1.0,1.0,0.0,Matches,6ea23758,DF
389,Grant Hanley,DF,Scotland,34,1991,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,Matches,e9254eec,DF
